"Produkttitel","Antal bestilt","Antal returneret","Frekvensen for returneret antal"
"L'Oréal Pro Serie Expert Blondifier Gloss Shampoo 300 ml",1,0,0
"Olaplex Bond Maintenance Conditioner No. 5 250 ml - Balsam",1,-1,1
"L'Oréal Pro Serie Expert Blondifier Conditioner 200 ml - Balsam",1,0,0
"Maria Nila Colour Refresh Pearl Silver 100 ml - Farvende hårkur",1,0,0
"Balmain Hair Couture Professional Ceramic Curling Wand 32 mm",1,-1,1
"KMS TameFrizz Conditioner 250 ml - Balsam",1,0,0
"Maria Nila Gabbro Wax 50 ml - Hårvoks",1,-1,1
"Oway Color Protection Hair Bath 50 ml - Shampoo - Udgået",1,0,0
"Oway Frequent Use Conditioner 240 ml - Balsam",1,0,0
"Maria Nila Coils & Curls Oil-In-Cream 100 ml",1,0,0
"weDo Professional Protect Balm 25 g - Lædepomade",1,0,0
